business_name	business_address	business_city	business_state	business_postal_code	business_latitude	business_longitude	business_phone_number	inspection_id	inspection_date	inspection_score	inspection_type	violation_id	violation_description	risk_category
Le Regency	18 California St	San Francisco	CA	94108	37.793687	-122.396592		2240_20171020	2017-10-20	79.0	Routine - Unscheduled	2240_20171020_103157	Food safety certificate or food handler card not available	Low Risk
Cafe La Flore 1	1032 Clement St	San Francisco	CA	94118				78844_20161017	2017-10-17	85.0	Routine - Unscheduled	78844_20161017_103153	Inadequate dressing rooms or improper storage of personal items	Low Risk
Da Cafe	407 Clement St	San Francisco	CA	94118				86647_20170517	2017-05-17	72.0	Routine - Unscheduled	86647_20170517_103124	Inadequately cleaned or sanitized food contact surfaces	Moderate Risk
Wonderful Dessert & Cafe	2035 IRVING St	San Francisco	CA	94122	37.763399	-122.479654		18767_20160923	2017-09-23	88.0	Routine - Unscheduled	18767_20160923_103154	Unclean or degraded floors walls or ceilings	Low Risk
HAYES STREET GRILL	324 HAYES St	San Francisco	CA	94102	37.777048	-122.421844		3640_20170711	2017-07-11	83.0	Routine - Unscheduled	3640_20170711_103125	Noncompliance with shell fish tags or display	Moderate Risk
Little Beijing Restaurant	1316 Noriega St	San Francisco	CA	94122			+14155710365	81976_20160706	2017-07-06		Reinspection/Followup			
Ginger Elizabeth Chocolates	3108 Fillmore St	San Francisco	CA	94123			+14156831153	92042_20171109	2017-11-09		New Construction			
Tacos San Buena	16th & Shotwell St	San Francisco	CA	94102	37.779847	-122.418985	+14155556127	62277_20160429	2017-04-29	90.0	Routine - Unscheduled	62277_20160429_103148	No thermometers or uncalibrated thermometers	Low Risk
UNITED LIQUORS & DELI	2401 CHESTNUT St	San Francisco	CA	94123	37.799934	-122.442977		4555_20171128	2017-11-28	94.0	Routine - Unscheduled	4555_20171128_103144	Unapproved or unmaintained equipment or utensils	Low Risk
Pica Pica	401 VALENCIA St	San Francisco	CA	94103	37.766394	-122.421986		62532_20161102	2017-11-02	92.0	Routine - Unscheduled	62532_20161102_103120	Moderate risk food holding temperature	Moderate Risk
EDEN PLAZA CAFE	600 HARRISON St	San Francisco	CA	94107	37.783954	-122.395699		811_20170906	2017-09-06	94.0	Routine - Unscheduled	811_20170906_103139	Improper food storage	Low Risk
BLUE DANUBE COFFEE HOUSE	306 CLEMENT St	San Francisco	CA	94118	37.783058	-122.462502		2256_20160518	2017-05-18	76.0	Routine - Unscheduled	2256_20160518_103124	Inadequately cleaned or sanitized food contact surfaces	Moderate Risk
Me So Hungry	Off The Grid	San Francisco	CA					70044_20160514	2017-05-14	87.0	Routine - Unscheduled	70044_20160514_103157	Food safety certificate or food handler card not available	Low Risk
LITTLE JOES PIZZA REST.	5006 MISSION St	San Francisco	CA	94112	37.718359	-122.439655	+14155333684	3252_20160725	2017-07-25	86.0	Routine - Unscheduled	3252_20160725_103124	Inadequately cleaned or sanitized food contact surfaces	Moderate Risk
Epicurean@SHCP	1055 Ellis St.	San Francisco	CA	94109				89072_20161018	2017-10-18		Reinspection/Followup			
The Good Chocolate	25 Leland Ave	San Francisco	CA	94134				93297_20171012	2017-10-12		New Construction			
Fresco Pizza and Grill	1338 Polk St	San Francisco	CA	94109	37.789278	-122.420387		64141_20170906	2017-09-06	90.0	Routine - Unscheduled	64141_20170906_103133	Foods not protected from contamination	Moderate Risk
Kingza	1009 Guerrero St	San Francisco	CA	94110			+14155745939	90212_20180125	2017-01-25	90.0	Routine - Unscheduled	90212_20180125_103118	Employee eating or smoking	Moderate Risk
KABABAYAN FAST FOOD	2706 MISSION St	San Francisco	CA	94110	37.753691	-122.418657	+14155929635	1249_20160216	2017-02-16	83.0	Routine - Unscheduled	1249_20160216_103149	Wiping cloths not clean or properly stored or inadequate sanitizer	Low Risk
Farmers Market & Produce	986 Polk St	San Francisco	CA	94109	37.785787	-122.419644		60114_20170914	2017-09-14	92.0	Routine - Unscheduled	60114_20170914_103154	Unclean or degraded floors walls or ceilings	Low Risk
Red Dog	303 02nd St	San Francisco	CA	94107				78303_20180307	2017-03-07		Reinspection/Followup			
THE COFFEESMITH	401 Golden Gate Ave	San Francisco	CA	94102	37.781381	-122.417186		65676_20170808	2017-08-08	88.0	Routine - Unscheduled	65676_20170808_103144	Unapproved or unmaintained equipment or utensils	Low Risk
The Hamlin School	2120 BROADWAY St	San Francisco	CA	94115	37.794608	-122.432474		5938_20170315	2017-03-15	91.0	Routine - Unscheduled	5938_20170315_103145	Improper storage of equipment utensils or linens	Low Risk
CAFFE' ROMA	885 Bryant St	San Francisco	CA	94103	37.774677	-122.404222	+14155297662	2737_20170801	2017-08-01		Reinspection/Followup			
Fatted Calf SF	320 Fell St	San Francisco	CA	94102	37.775918	-122.423134	+14155405614	64351_20170920	2017-09-20		Reinspection/Followup			
Rosamunde Sausage Grill	2832 MISSION St	San Francisco	CA	94110	37.751587	-122.418444	+14155307170	61736_20180117	2017-01-17	90.0	Routine - Unscheduled	61736_20180117_103139	Improper food storage	Low Risk
Sweetheart Cafe	909 Grant Ave	San Francisco	CA	94108				76437_20160406	2017-04-06		Reinspection/Followup			
SF Food Market	4614 03rd St	San Francisco	CA	94124				84393_20170919	2017-09-19	84.0	Routine - Unscheduled	84393_20170919_103119	Inadequate and inaccessible handwashing facilities	Moderate Risk
Hall of Flame Burgers	73 Cambon St	San Francisco	CA	94132			+14155584444	86172_20160719	2017-07-19	92.0	Routine - Unscheduled	86172_20160719_103139	Improper food storage	Low Risk
LESLIE A. HENNESSY, INC.	545 02nd St	San Francisco	CA	94107	37.782504	-122.392843		13218_20170829	2017-08-29	85.0	Routine - Unscheduled	13218_20170829_103131	Moderate risk vermin infestation	Moderate Risk
The Roosevelt	2817 24th St	San Francisco	CA	94110	37.752824	-122.408599		71087_20180315	2017-03-15	93.0	Routine - Unscheduled	71087_20180315_103105	Improper cooling methods	High Risk
Super Duper	346 Kearny St	San Francisco	CA	94108				82911_20160824	2017-08-24	89.0	Routine - Unscheduled	82911_20160824_103102	Unclean hands or improper use of gloves	High Risk
Starbucks Coffee #22432	564 Market St	San Francisco	CA	94104				80044_20151016	2017-10-16	94.0	Routine - Unscheduled	80044_20151016_103119	Inadequate and inaccessible handwashing facilities	Moderate Risk
Pho Ha Tien	1900 OCEAN Ave	San Francisco	CA	94127	37.725306	-122.462261		19138_20150423	2017-04-23	81.0	Routine - Unscheduled	19138_20150423_103149	Wiping cloths not clean or properly stored or inadequate sanitizer	Low Risk
El Gran Taco Loco	3306 MISSION St	San Francisco	CA	94110	37.743767	-122.421158		32200_20150924	2017-09-24	90.0	Routine - Unscheduled	32200_20150924_103154	Unclean or degraded floors walls or ceilings	Low Risk
Win Garden	2794 Diamond St	San Francisco	CA	94131			+14155268592	84889_20170629	2017-06-29	81.0	Routine - Unscheduled	84889_20170629_103157	Food safety certificate or food handler card not available	Low Risk
Genji Sushi	399 04th St	San Francisco	CA	94107				84392_20170925	2017-09-25		Reinspection/Followup			
Imperial Palace	881 Washington St	San Francisco	CA	94108	37.795138	-122.406863		18480_20171129	2017-11-29	74.0	Routine - Unscheduled	18480_20171129_103142	Unclean nonfood contact surfaces	Low Risk
ORIENTAL SEAFOOD RESTAURANT	2520 NORIEGA St	San Francisco	CA	94122	37.753638	-122.490712		2292_20160126	2017-01-26	67.0	Routine - Unscheduled	2292_20160126_103149	Wiping cloths not clean or properly stored or inadequate sanitizer	Low Risk
Tacos San Buena	16th & Shotwell St	San Francisco	CA	94102	37.779847	-122.418985	+14155556127	62277_20160429	2017-04-29	90.0	Routine - Unscheduled	62277_20160429_103154	Unclean or degraded floors walls or ceilings	Low Risk
SF Food Market	4614 03rd St	San Francisco	CA	94124				84393_20160205	2017-02-05	71.0	Routine - Unscheduled	84393_20160205_103102	Unclean hands or improper use of gloves	High Risk
Champa Garden	613 Faxon Ave	San Francisco	CA	94112			+14155344186	75402_20170901	2017-09-01		Reinspection/Followup	75402_20170901_103109	Unclean or unsanitary food contact surfaces	High Risk
Pho Express	380 Bush St #4	San Francisco	CA	94104				79206_20160830	2017-08-30	71.0	Routine - Unscheduled	79206_20160830_103102	Unclean hands or improper use of gloves	High Risk
Taqueria Mana	439 Stockton St	San Francisco	CA	94108	37.790043	-122.407104		9273_20150910	2017-09-10		Reinspection/Followup			
A.K. Meat	2346 clement st.	San Francisco	CA	94118	37.782058	-122.484602		36850_20160429	2017-04-29		Reinspection/Followup			
Pedrito's	3254 23rd St	San Francisco	CA	94110			+14155641815	84533_20171115	2017-11-15	81.0	Routine - Unscheduled	84533_20171115_103103	High risk food holding temperature	High Risk
Myconos Restaurant	1431 Polk St	San Francisco	CA	94109	37.789964	-122.420595		2902_20170815	2017-08-15	84.0	Routine - Unscheduled	2902_20170815_103131	Moderate risk vermin infestation	Moderate Risk
BURGERMEISTER	Church St	San Francisco	CA	94114	37.768776	-122.429095	+14155432874	2627_20170105	2017-01-05	86.0	Routine - Unscheduled	2627_20170105_103138	Improper storage use or identification of toxic substances	Low Risk
Buffalo Theory	1735 Polk St	San Francisco	CA	94109			+14155513836	85256_20180226	2017-02-26	85.0	Routine - Unscheduled	85256_20180226_103124	Inadequately cleaned or sanitized food contact surfaces	Moderate Risk
Daniel Ripley Catering	425 Barneveld Ave	San Francisco	CA	94124				84747_20151006	2017-10-06		New Ownership			
Morty's Delicatessen	280 Golden Gate Ave	San Francisco	CA	94102				87015_20170630	2017-06-30	77.0	Routine - Unscheduled	87015_20170630_103145	Improper storage of equipment utensils or linens	Low Risk
Ristorante Ideale	1309 Grant Ave	San Francisco	CA	94133	37.799003	-122.407274		479_20160823	2017-08-23		Reinspection/Followup			
China Express Deli	2732 MISSION St	San Francisco	CA	94110	37.7533	-122.41863		62735_20161114	2017-11-14		Complaint			
NOAH'S NEW YORK BAGELS #2105	1521 SLOAT Blvd	San Francisco	CA	94132	37.733944	-122.490438		5074_20160610	2017-06-10	88.0	Routine - Unscheduled	5074_20160610_103119	Inadequate and inaccessible handwashing facilities	Moderate Risk
Reveille Coffee	768 Sansome	San Francisco	CA	94111	37.797327	-122.401957		64723_20150720	2017-07-20	82.0	Routine - Unscheduled	64723_20150720_103103	High risk food holding temperature	High Risk
CREPES ON COLE	100 CARL St	San Francisco	CA	94117	37.765778	-122.450184	+14155661800	1347_20171201	2017-12-01	92.0	Routine - Unscheduled	1347_20171201_103161	Low risk vermin infestation	Low Risk
Oriental Pearl Restaurant	760 Clay St	San Francisco	CA	94108	37.794347	-122.405994		3504_20171127	2017-11-27	92.0	Routine - Unscheduled	3504_20171127_103150	Improper or defective plumbing	Low Risk
The Cheesecake Factory	251 Geary St, 8th Floor	San Francisco	CA	94102	37.787423	-122.407417		2898_20161103	2017-11-03	94.0	Routine - Unscheduled	2898_20161103_103139	Improper food storage	Low Risk
Illy Caffe SF_ 90 N Montgomery	90 New Montgomery St.	San Francisco	CA	94105				88910_20170130	2017-01-30		New Construction			
Z. Cioccolato	474 Columbus Ave	San Francisco	CA	94133				83945_20150723	2017-07-23		New Ownership	83945_20150723_103131	Moderate risk vermin infestation	Moderate Risk
Noir Lounge	581 Hayes St	San Francisco	CA	94102				72015_20171130	2017-11-30	86.0	Routine - Unscheduled	72015_20171130_103103	High risk food holding temperature	High Risk
Serpentine	2495 3rd St.	San Francisco	CA	94107				91198_20170419	2017-04-19		New Ownership			
People's Bistro	1419 Haight  St	San Francisco	CA	94117				94710_20180321	2017-03-21		New Ownership - Followup			
Sausalito Cafe #2	50 Beale St 105	San Francisco	CA		37.792414	-122.39702		33114_20170105	2017-01-05	68.0	Routine - Unscheduled	33114_20170105_103119	Inadequate and inaccessible handwashing facilities	Moderate Risk
Zynga	699 08th St	San Francisco	CA	94103	37.770384	-122.404291		66963_20180312	2017-03-12	94.0	Routine - Unscheduled	66963_20180312_103127	Noncompliance with HAACP plan or variance	Moderate Risk
House of Banquet	939 Clement St	San Francisco	CA	94118	37.782663	-122.469359	+14155780203	65050_20160608	2017-06-08		Complaint	65050_20160608_103119	Inadequate and inaccessible handwashing facilities	Moderate Risk
Baker Street Bistro	2953 BAKER St	San Francisco	CA	94123	37.798172	-122.445962	+14155931475	63406_20180103	2017-01-03		Reinspection/Followup			
Cha Cha Cha	1801 Haight St	San Francisco	CA	94117				91984_20180206	2017-02-06	76.0	Routine - Unscheduled	91984_20180206_103154	Unclean or degraded floors walls or ceilings	Low Risk
Batter Up	888 Geneva Ave	San Francisco	CA	94112	37.716703	-122.441228		65485_20171215	2017-12-15	90.0	Routine - Unscheduled	65485_20171215_103154	Unclean or degraded floors walls or ceilings	Low Risk
"Japanese Tea Garden ""Tea House"""	75 Hagiwara Tea Garden Dr. Golden Gate Park	San Francisco	CA	94118	37.778382	-122.462787		62526_20151014	2017-10-14		Reinspection/Followup			
Pan Lido Salvadoreno	3147 22nd St	San Francisco	CA	94110	37.755479	-122.417583	+14155283350	59574_20160204	2017-02-04	96.0	Routine - Unscheduled	59574_20160204_103133	Foods not protected from contamination	Moderate Risk
Sushi Fantastic	215 Fremont St Suite 2A	San Francisco	CA	94105				85026_20170629	2017-06-29	83.0	Routine - Unscheduled	85026_20170629_103147	Inadequate ventilation or lighting	Low Risk
Cafeto Coffee Shop	111 Richland Ave	San Francisco	CA	94110	37.736078	-122.424108		68018_20170908	2017-09-08	96.0	Routine - Unscheduled	68018_20170908_103120	Moderate risk food holding temperature	Moderate Risk
EL NORTENO	801 bryant St	San Francisco	CA	94103	37.776011	-122.402466	+14150208621	5297_20160224	2017-02-24	92.0	Routine - Unscheduled	5297_20160224_103157	Food safety certificate or food handler card not available	Low Risk
Lung Fung Bakery	1823 Clement St	San Francisco	CA	94121				83799_20160603	2017-06-03	83.0	Routine - Unscheduled	83799_20160603_103102	Unclean hands or improper use of gloves	High Risk
Chart House	Pier 39  Space 206-8	San Francisco	CA	94133			+14155432260	79145_20171003	2017-10-03	94.0	Routine - Unscheduled	79145_20171003_103156	Permit license or inspection report not posted	Low Risk
The Olympic Club Restaurant	524 Post St 2nd Floor	San Francisco	CA	94102	37.787978	-122.410904		34354_20160222	2017-02-22	100.0	Routine - Unscheduled			
The Grubbies	123 02nd St	San Francisco	CA	94105				92751_20170927	2017-09-27		New Construction			
HEUNG YUEN RESTAURANT	3279 22nd St	San Francisco	CA	94110	37.755282	-122.420493		1000_20171002	2017-10-02	74.0	Routine - Unscheduled	1000_20171002_103132	Improper thawing methods	Moderate Risk
BLUE FRONT DELI	1430 HAIGHT St	San Francisco	CA	94117	37.770147	-122.446044		2323_20150513	2017-05-13	62.0	Routine - Unscheduled	2323_20150513_103142	Unclean nonfood contact surfaces	Low Risk
El Nuevo Frutilandia	3077 24th St	San Francisco	CA	94110				69885_20171221	2017-12-21	90.0	Routine - Unscheduled	69885_20171221_103124	Inadequately cleaned or sanitized food contact surfaces	Moderate Risk
SAFEWAY #1507	2020 MARKET St	San Francisco	CA	94114	37.768743	-122.427549	+14155867660	3834_20150420	2017-04-20	85.0	Routine - Unscheduled	3834_20150420_103149	Wiping cloths not clean or properly stored or inadequate sanitizer	Low Risk
R & G Executive Lounge, Inc	631 Kearny St	San Francisco	CA	94108	37.794154	-122.404765		3016_20170418	2017-04-18		Complaint	3016_20170418_103114	High risk vermin infestation	High Risk
Mestiza Taqueria	595 Bryant St.	San Francisco	CA	94107				90460_20170918	2017-09-18	85.0	Routine - Unscheduled	90460_20170918_103132	Improper thawing methods	Moderate Risk
CAFE ROCCO	1131 FOLSOM St	San Francisco	CA	94103	37.776127	-122.408602		2995_20180322	2017-03-22		Complaint	2995_20180322_103103	High risk food holding temperature	High Risk
Little Star Pizza	846 Divisadero	San Francisco	CA	94117	37.777488	-122.438257		14429_20150903	2017-09-03	91.0	Routine - Unscheduled	14429_20150903_103141	Improper food labeling or menu misrepresentation	Low Risk
Zoe's	3088 24th St	San Francisco	CA	94110				69884_20170511	2017-05-11	82.0	Routine - Unscheduled	69884_20170511_103154	Unclean or degraded floors walls or ceilings	Low Risk
94640 Say Hey Sausage/Carvery	24 Willie Mays Plaza  RM 2127	San Francisco	CA	94107			+14155943211	94640_20180326	2017-03-26	100.0	Routine - Unscheduled			
Young's Restaurant	601 Kearny St	San Francisco	CA	94108	37.793702	-122.404653		1594_20150623	2017-06-23	86.0	Routine - Unscheduled	1594_20150623_103154	Unclean or degraded floors walls or ceilings	Low Risk
The Morris	2501 Mariposa St	San Francisco	CA	94110			+14150710693	87203_20171106	2017-11-06		Reinspection/Followup			
Dogpatch Cafe	2295 03rd St	San Francisco	CA	94107	37.760575	-122.388398		64242_20170124	2017-01-24	90.0	Routine - Unscheduled	64242_20170124_103142	Unclean nonfood contact surfaces	Low Risk
Panchitas Cart	3091 16th St	San Francisco	CA	94103				75108_20160718	2017-07-18		New Construction	75108_20160718_103103	High risk food holding temperature	High Risk
King's Thai Cuisine	346 CLEMENT St	San Francisco	CA	94118	37.783028	-122.463141		67828_20170327	2017-03-27	85.0	Routine - Unscheduled	67828_20170327_103102	Unclean hands or improper use of gloves	High Risk
IRVING PIZZA	1825 IRVING St	San Francisco	CA	94122	37.763513	-122.47764		950_20170111	2017-01-11		Reinspection/Followup			
Stripe	185 Berry St 4th Floor	San Francisco	CA	94107			+14155279556	88110_20161129	2017-11-29	87.0	Routine - Unscheduled	88110_20161129_103139	Improper food storage	Low Risk
The Pizza Place	3901 Noriega Street	San Francisco	CA	94122	37.752933	-122.505619		32835_20171018	2017-10-18		Complaint			
Le Meridien SF Main Kitchen/Employee Cafeteria	333 Battery St Level A & B	San Francisco	CA	94111	37.799005	-122.399862	+14155292904	65724_20161108	2017-11-08	96.0	Routine - Unscheduled	65724_20161108_103127	Noncompliance with HAACP plan or variance	Moderate Risk
MONGKOK DIM SUM & RESTAURANT	2438 NORIEGA  St	San Francisco	CA	94122	37.753678	-122.489972		2798_20160602	2017-06-02		Reinspection/Followup			
La Capra Coffee	360 03rd St Suite 101	San Francisco	CA	94107				83415_20150609	2017-06-09		New Construction			
Cheese Plus	2001 Polk St	San Francisco	CA	94109	37.795273	-122.421665		6863_20170809	2017-08-09	86.0	Routine - Unscheduled	6863_20170809_103133	Foods not protected from contamination	Moderate Risk
ADELITA'S CAKES	3780 MISSION St	San Francisco	CA	94110	37.736304	-122.424432		386_20160127	2017-01-27	90.0	Routine - Unscheduled	386_20160127_103119	Inadequate and inaccessible handwashing facilities	Moderate Risk
Presidio Pizza Company	1862 Divisadero St	San Francisco	CA	94115				76905_20170227	2017-02-27	84.0	Routine - Unscheduled	76905_20170227_103114	High risk vermin infestation	High Risk
H20 Cafe	1330 Polk St	San Francisco	CA	94109	37.789288	-122.420387		62708_20170929	2017-09-29	83.0	Routine - Unscheduled	62708_20170929_103129	Insufficient hot water or running water	Moderate Risk
PACIFIC CATCH	2027 CHESTNUT St	San Francisco	CA	94123	37.800763	-122.436536	+14155441950	305_20180105	2017-01-05		Complaint			
The Sunset's Best Seafood Restaurant	3060 TARAVAL St	San Francisco	CA	94116	37.742048	-122.499002		985_20160614	2017-06-14	79.0	Routine - Unscheduled	985_20160614_103124	Inadequately cleaned or sanitized food contact surfaces	Moderate Risk
Sweet Hut	519 Clement St	San Francisco	CA	94118	37.782893	-122.464948		66384_20170925	2017-09-25		Reinspection/Followup			
CHINA EXPRESS	2798 MISSION St	San Francisco	CA	94110	37.752408	-122.418535	+14155640881	2357_20170817	2017-08-17		Reinspection/Followup			
STARBUCKS COFFEE	1298 HOWARD St	San Francisco	CA	94103	37.775314	-122.412819	+14155567385	4425_20171129	2017-11-29	94.0	Routine - Unscheduled	4425_20171129_103154	Unclean or degraded floors walls or ceilings	Low Risk
Young's Restaurant	601 Kearny St	San Francisco	CA	94108	37.793702	-122.404653		1594_20171207	2017-12-07		Reinspection/Followup			
Trattoria Contadina Restaurant	1800 Mason St	San Francisco	CA	94133	37.800147	-122.412456		3481_20160105	2017-01-05		Complaint	3481_20160105_103133	Foods not protected from contamination	Moderate Risk
Pizza Zone	555 Beach St	San Francisco	CA	94133				76353_20160328	2017-03-28	96.0	Routine - Unscheduled	76353_20160328_103142	Unclean nonfood contact surfaces	Low Risk
T & T Cafe	601 Broadway St	San Francisco	CA	94133				87761_20161012	2017-10-12	92.0	Routine - Unscheduled	87761_20161012_103145	Improper storage of equipment utensils or linens	Low Risk
Batter Up	888 Geneva Ave	San Francisco	CA	94112	37.716703	-122.441228		65485_20171215	2017-12-15	90.0	Routine - Unscheduled	65485_20171215_103147	Inadequate ventilation or lighting	Low Risk
Wrecking Ball Coffee Roasters	2271 . St	San Francisco	CA	94123			+14155718189	80051_20171018	2017-10-18	90.0	Routine - Unscheduled	80051_20171018_103158	Unpermitted food facility	Low Risk
Lou's Cafe	100 Pine St 102	San Francisco	CA	94111			+14150584842	83449_20171130	2017-11-30	77.0	Routine - Unscheduled	83449_20171130_103116	Inadequate food safety knowledge or lack of certified food safety manager	Moderate Risk
Bit Me Sandwiches	4230 18th St	San Francisco	CA	94114				87316_20180309	2017-03-09		Non-inspection site visit			
DESTINATION BAKING COMPANY	598 Chenery St	San Francisco	CA	94131	37.734619	-122.432379	+14155460730	5033_20170104	2017-01-04	86.0	Routine - Unscheduled	5033_20170104_103156	Permit license or inspection report not posted	Low Risk
MARNEE THAI RESTAURANT	1243 09th Ave	San Francisco	CA	94122	37.758941	-122.48591		3217_20150709	2017-07-09	71.0	Routine - Unscheduled	3217_20150709_103124	Inadequately cleaned or sanitized food contact surfaces	Moderate Risk
STARBUCKS	5455 GEARY Blvd	San Francisco	CA	94121	37.780305	-122.477825		1413_20160809	2017-08-09		New Construction			
New Hampshire Market	2701 20th St	San Francisco	CA	94110				80235_20170526	2017-05-26	88.0	Routine - Unscheduled	80235_20170526_103139	Improper food storage	Low Risk
VIKINGS GIANT SUBMARINE SANDWICHES	1418 LOMBARD St	San Francisco	CA	94123	37.801334	-122.424905		670_20171023	2017-10-23	86.0	Routine - Unscheduled	670_20171023_103120	Moderate risk food holding temperature	Moderate Risk
Starbucks Coffee	462 Powell St	San Francisco	CA	94102	37.788918	-122.408507		35771_20171211	2017-12-11	98.0	Routine - Unscheduled	35771_20171211_103149	Wiping cloths not clean or properly stored or inadequate sanitizer	Low Risk
Mission Chinese Food SF	2234 Mission St	San Francisco	CA	94110			+14155862800	78215_20150713	2017-07-13		Reinspection/Followup			
Clean Bites	755 Font St  #107	San Francisco	CA	94132				92828_20180209	2017-02-09		New Construction			
Auntie April's	4618 03rd St	San Francisco	CA	94124	37.736277	-122.390334		62688_20160310	2017-03-10		Reinspection/Followup			
Happy Donuts	299 Ellis St	San Francisco	CA	94102				83538_20170907	2017-09-07		Reinspection/Followup			
Pancho's Salsa Bar & Grill	1639 Polk St	San Francisco	CA	94109	37.792093	-122.421024		874_20161012	2017-10-12	94.0	Routine - Unscheduled	874_20161012_103120	Moderate risk food holding temperature	Moderate Risk
Joo Mak	4828 Geary Blvd	San Francisco	CA	94118				76595_20170201	2017-02-01	81.0	Routine - Unscheduled	76595_20170201_103132	Improper thawing methods	Moderate Risk
