business_name	business_address	business_city	business_state	business_postal_code	business_latitude	business_longitude	business_phone_number	inspection_id	inspection_date	inspection_score	inspection_type	violation_id	violation_description	risk_category
Live Sushi Bistro	1 Gilbert St	San Francisco	CA	94103	37.774759	-122.404133		62632_20170111	2017-01-11	84.0	Routine - Unscheduled	62632_20170111_103131	Moderate risk vermin infestation	Moderate Risk
Mehfil Indian Restaurant	28 02nd St	San Francisco	CA	94105				69199_20170127	2017-01-27	53.0	Routine - Unscheduled	69199_20170127_103149	Wiping cloths not clean or properly stored or inadequate sanitizer	Low Risk
S & T Hong Kong Seafood	2588 Noriega St	San Francisco	CA	94122	37.753608	-122.491313		24572_20160426	2017-04-26	74.0	Routine - Unscheduled	24572_20160426_103102	Unclean hands or improper use of gloves	High Risk
Victor's Pizza	1411 Polk St	San Francisco	CA	94109	37.789944	-122.420595		3031_20180206	2017-02-06		Reinspection/Followup			
Fat Angel	1740 O' Farrell St	San Francisco	CA	94115	37.783237	-122.433243		61073_20170222	2017-02-22	80.0	Routine - Unscheduled	61073_20170222_103107	Improper reheating of food	High Risk
JUMP START COFFEE & GROCERY	1192 GUERRERO St	San Francisco	CA	94110	37.752118	-122.422914	+14155647555	4874_20180306	2017-03-06	86.0	Routine - Unscheduled	4874_20180306_103116	Inadequate food safety knowledge or lack of certified food safety manager	Moderate Risk
New Sun Hong Kong Restaurant	606 Broadway St	San Francisco	CA	94133	37.797868	-122.407194		2945_20150921	2017-09-21		Complaint	2945_20150921_103119	Inadequate and inaccessible handwashing facilities	Moderate Risk
Pho Delicious	1365 Stockton St	San Francisco	CA	94133				86765_20161220	2017-12-20	79.0	Routine - Unscheduled	86765_20161220_103154	Unclean or degraded floors walls or ceilings	Low Risk
HWA LEI MARKET	2970 A 16th St	San Francisco	CA	94103	37.774722	-122.406761	+14155861618	6564_20160729	2017-07-29	75.0	Routine - Unscheduled	6564_20160729_103138	Improper storage use or identification of toxic substances	Low Risk
Red Victorian	1665 Haight St	San Francisco	CA	94117			+14152363967	80194_20170210	2017-02-10		Reinspection/Followup			
Subway #68745	170 O'Farrell St #428	San Francisco	CA	94102				93072_20170915	2017-09-15		New Construction			
Kama Sushi	1497 CHURCH St	San Francisco	CA	94131	37.746962	-122.426905		66612_20160310	2017-03-10	92.0	Routine - Unscheduled	66612_20160310_103120	Moderate risk food holding temperature	Moderate Risk
Verve Coffee Roasters	2101 Market St	San Francisco	CA	94114			+14151468141	86653_20180119	2017-01-19		Complaint			
Capo's	641 Vallejo St	San Francisco	CA	94133				68321_20160407	2017-04-07	77.0	Routine - Unscheduled	68321_20160407_103159	Worker safety hazards	Low Risk
Tung Sing Restaurant	4015 24th St	San Francisco	CA	94114	37.751373	-122.432319	+14155648582	1609_20160328	2017-03-28	83.0	Routine - Unscheduled	1609_20160328_103103	High risk food holding temperature	High Risk
Jack In The Box #556	366 Bayshore Blvd	San Francisco	CA	94124	37.741597	-122.406398		37658_20171106	2017-11-06	89.0	Routine - Unscheduled	37658_20171106_103139	Improper food storage	Low Risk
Urban Remedy	1 Ferry Building	San Francisco	CA	94111				85898_20170127	2017-01-27	96.0	Routine - Unscheduled	85898_20170127_103156	Permit license or inspection report not posted	Low Risk
Tsing Tao #2	1117 Fillmore St	San Francisco	CA	94115				76886_20160415	2017-04-15		Reinspection/Followup			
Fish N Gari	1718 Polk St	San Francisco	CA	94109	37.792577	-122.421016		69759_20180305	2017-03-05	75.0	Routine - Unscheduled	69759_20180305_103142	Unclean nonfood contact surfaces	Low Risk
Soul Bowl'z	103 Horn Ave	San Francisco	CA	94124			+14155416228	93305_20171208	2017-12-08		New Ownership			
STARBUCKS COFFEE	1298 HOWARD St	San Francisco	CA	94103	37.775314	-122.412819	+14155567385	4425_20160504	2017-05-04	94.0	Routine - Unscheduled	4425_20160504_103149	Wiping cloths not clean or properly stored or inadequate sanitizer	Low Risk
Lai Hong Lounge	1416 Powell St	San Francisco	CA	94133	37.797596	-122.410207		69205_20150513	2017-05-13	71.0	Routine - Unscheduled	69205_20150513_103124	Inadequately cleaned or sanitized food contact surfaces	Moderate Risk
Tak Kee Lee Restaurant	2435 Noriega St	San Francisco	CA	94122	37.753623	-122.489929		10990_20160531	2017-05-31	81.0	Routine - Unscheduled	10990_20160531_103120	Moderate risk food holding temperature	Moderate Risk
Pine & Taylor Market	996 Pine St	San Francisco	CA	94108				90808_20170418	2017-04-18		Routine - Unscheduled	90808_20170418_103152	Unclean unmaintained or improperly constructed toilet facilities	Low Risk
La Taqueria Guadalajara	3146 24th St	San Francisco	CA	94110	37.752512	-122.415109	+14155644892	32671_20160629	2017-06-29	84.0	Routine - Unscheduled	32671_20160629_103154	Unclean or degraded floors walls or ceilings	Low Risk
Bashfull Bull Too	3600 Taraval St	San Francisco	CA	94116			+14155758112	81887_20171102	2017-11-02	86.0	Routine - Unscheduled	81887_20171102_103131	Moderate risk vermin infestation	Moderate Risk
MARTHA & BROS COFFEE CO	745 CORTLAND Ave	San Francisco	CA	94110	37.738927	-122.414757	+14155647779	2632_20160219	2017-02-19	88.0	Routine - Unscheduled	2632_20160219_103141	Improper food labeling or menu misrepresentation	Low Risk
Sushi Bistro	431 Balboa St	San Francisco	CA	94118			+14155937100	75637_20160829	2017-08-29	89.0	Routine - Unscheduled	75637_20160829_103114	High risk vermin infestation	High Risk
Pier 23 Cafe Inc	Pier 23	San Francisco	CA	94111	37.802673	-122.400867		33747_20170221	2017-02-21	89.0	Routine - Unscheduled	33747_20170221_103125	Noncompliance with shell fish tags or display	Moderate Risk
PACIFIC CAFE	7000 GEARY Blvd	San Francisco	CA	94121	37.779668	-122.494562		2282_20170920	2017-09-20	90.0	Routine - Unscheduled	2282_20170920_103120	Moderate risk food holding temperature	Moderate Risk
Homeskillet	1001 Market St	San Francisco	CA	94102				78662_20160913	2017-09-13	76.0	Routine - Unscheduled	78662_20160913_103109	Unclean or unsanitary food contact surfaces	High Risk
S & T Hong Kong Seafood	2588 Noriega St	San Francisco	CA	94122	37.753608	-122.491313		24572_20171004	2017-10-04	72.0	Routine - Unscheduled	24572_20171004_103119	Inadequate and inaccessible handwashing facilities	Moderate Risk
Yuyu Sushi	1559 A Sloat St	San Francisco	CA	94132	37.733901	-122.490726	+14155666477	14005_20171205	2017-12-05	90.0	Routine - Unscheduled	14005_20171205_103120	Moderate risk food holding temperature	Moderate Risk
Gourmet Carousel	1559 FRANKLIN St	San Francisco	CA	94109	37.789073	-122.423784		68160_20170510	2017-05-10	68.0	Routine - Unscheduled	68160_20170510_103132	Improper thawing methods	Moderate Risk
GRAND LODGE OF CALIFORNIA	5051 MISSION St	San Francisco	CA	94112	37.717659	-122.44005		3476_20170307	2017-03-07	88.0	Routine - Unscheduled	3476_20170307_103119	Inadequate and inaccessible handwashing facilities	Moderate Risk
PASITA'S BAKERY	10 PERSIA Ave	San Francisco	CA	94112	37.723086	-122.435983		7759_20180322	2017-03-22	92.0	Routine - Unscheduled	7759_20180322_103150	Improper or defective plumbing	Low Risk
Kaiju Eats Inc	3409 Geary Blvd	San Francisco	CA	94118			+14155744309	84656_20150929	2017-09-29	67.0	Routine - Unscheduled	84656_20150929_103154	Unclean or degraded floors walls or ceilings	Low Risk
Trader Joe's #225	10 4th St.	San Francisco	CA	94103				90273_20170208	2017-02-08		New Construction			
The Brixton	2140 UNION St	San Francisco	CA	94123	37.797238	-122.434533	+14155401114	65057_20160603	2017-06-03	86.0	Routine - Unscheduled	65057_20160603_103152	Unclean unmaintained or improperly constructed toilet facilities	Low Risk
GreenSurge	2301 Market St	San Francisco	CA	94114			+14155814131	77566_20180223	2017-02-23	90.0	Routine - Unscheduled	77566_20180223_103177	Non service animal	Low Risk
Osha Thai Noodle Cafe	696 Geary St	San Francisco	CA	94102	37.786598	-122.414583		1741_20160520	2017-05-20	92.0	Routine - Unscheduled	1741_20160520_103154	Unclean or degraded floors walls or ceilings	Low Risk
Eli's Hot Dogs	101 Bayshore Blvd	San Francisco	CA	94014			+14155831168	74674_20150818	2017-08-18	60.0	Routine - Unscheduled	74674_20150818_103102	Unclean hands or improper use of gloves	High Risk
Starbucks Coffee Company	2163 Polk St	San Francisco	CA	94109	37.796527	-122.421953		2072_20161003	2017-10-03	87.0	Routine - Unscheduled	2072_20161003_103156	Permit license or inspection report not posted	Low Risk
Birba	458 Grove St	San Francisco	CA	94102				81756_20160510	2017-05-10	90.0	Routine - Unscheduled	81756_20160510_103149	Wiping cloths not clean or properly stored or inadequate sanitizer	Low Risk
Bayshore Market Deli & Liquor	300 BAYSHORE Blvd	San Francisco	CA	94124	37.743065	-122.405284		68832_20150402	2017-04-02		Reinspection/Followup			
Cafe Algiers & Deli	50 Beale St Suite 103	San Francisco	CA	94105				71034_20170105	2017-01-05	81.0	Routine - Unscheduled	71034_20170105_103133	Foods not protected from contamination	Moderate Risk
Let's Be Frank	Justin Herman Plaza	San Francisco	CA		37.777122	-122.419639		63210_20170422	2017-04-22	89.0	Routine - Unscheduled	63210_20170422_103119	Inadequate and inaccessible handwashing facilities	Moderate Risk
AT&T - GHIRARDELLI CHOCOLATE CO. (VIEW LEVEL) [147802]	24 Willie Mays Pl	San Francisco	CA	94107				11488_20150419	2017-04-19	100.0	Routine - Unscheduled			
NEW HING LUNG RESTAURANT	1556 NORIEGA St	San Francisco	CA	94122	37.754123	-122.48031		3693_20160323	2017-03-23		Reinspection/Followup			
Hakka Restaurant	4401 A Cabrillo St Suite A	San Francisco	CA	94121			+14155876898	75139_20180301	2017-03-01		Complaint	75139_20180301_103138	Improper storage use or identification of toxic substances	Low Risk
Golden Saigon Restaurant Corp.	2428 San Bruno Ave.	San Francisco	CA	94134				90941_20170505	2017-05-05		Reinspection/Followup			
Montesacro	510 Stevenson St	San Francisco	CA					82538_20160531	2017-05-31		New Construction			
Davids Tea	845 Market St #13	San Francisco	CA					70779_20170125	2017-01-25	96.0	Routine - Unscheduled	70779_20170125_103156	Permit license or inspection report not posted	Low Risk
Soma Fresh Meat and Deli	1000 Howard St	San Francisco	CA	94103				68860_20160826	2017-08-26	86.0	Routine - Unscheduled	68860_20160826_103133	Foods not protected from contamination	Moderate Risk
EL NORTENO	801 bryant St	San Francisco	CA	94103	37.776011	-122.402466	+14150208621	5297_20170101	2017-01-01	94.0	Routine - Unscheduled	5297_20170101_103154	Unclean or degraded floors walls or ceilings	Low Risk
Let's Eat	5130 03rd St	San Francisco	CA	94124	37.731831	-122.391862		65245_20150916	2017-09-16	94.0	Routine - Unscheduled	65245_20150916_103116	Inadequate food safety knowledge or lack of certified food safety manager	Moderate Risk
KIM HOANG CAFE & FAST FOOD	246-250 LEAVENWORTH ST	San Francisco	CA	94102	37.783249	-122.414065		14577_20170410	2017-04-10	79.0	Routine - Unscheduled	14577_20170410_103154	Unclean or degraded floors walls or ceilings	Low Risk
Amphawa Thai Noodle House	5020 GEARY Blvd	San Francisco	CA	94122	37.780733	-122.473114		66229_20150330	2017-03-30	90.0	Routine - Unscheduled	66229_20150330_103154	Unclean or degraded floors walls or ceilings	Low Risk
Las Isletas	4508 03rd St	San Francisco	CA	94124	37.737021	-122.390043	+14155577698	19373_20170110	2017-01-10	63.0	Routine - Unscheduled	19373_20170110_103105	Improper cooling methods	High Risk
IRVING PIZZA	1825 IRVING St	San Francisco	CA	94122	37.763513	-122.47764		950_20161214	2017-12-14	85.0	Routine - Unscheduled	950_20161214_103109	Unclean or unsanitary food contact surfaces	High Risk
Sichuan Home Inc	5037 Geary St	San Francisco	CA	94118			+14155223288	88063_20160721	2017-07-21		New Construction	88063_20160721_103139	Improper food storage	Low Risk
Hong Kong Bakery	4711 MISSION St	San Francisco	CA	94112	37.722898	-122.436086		38258_20150708	2017-07-08	77.0	Routine - Unscheduled	38258_20150708_103124	Inadequately cleaned or sanitized food contact surfaces	Moderate Risk
PEKING RESTAURANT	1375 NORIEGA St	San Francisco	CA	94122	37.754086	-122.47835		3025_20160502	2017-05-02	81.0	Routine - Unscheduled	3025_20160502_103131	Moderate risk vermin infestation	Moderate Risk
Dip, LLC	1318 Grant Ave	San Francisco	CA	94133				87364_20161110	2017-11-10		New Construction			
WHITE PALACE LIQUOR & DELI	1524 SILVER Ave	San Francisco	CA	94134	37.732344	-122.405852		4806_20160701	2017-07-01	92.0	Routine - Unscheduled	4806_20160701_103116	Inadequate food safety knowledge or lack of certified food safety manager	Moderate Risk
Happy Donuts	3801 24th St	San Francisco	CA	94114			+14155285890	77520_20171005	2017-10-05	86.0	Routine - Unscheduled	77520_20171005_103131	Moderate risk vermin infestation	Moderate Risk
Hole in the Wall Pizza	3244 Scott St	San Francisco	CA	94123	37.799664	-122.441015		33247_20180131	2017-01-31	98.0	Routine - Unscheduled	33247_20180131_103152	Unclean unmaintained or improperly constructed toilet facilities	Low Risk
LA ALTENA	3346 MISSION St	San Francisco	CA	94110	37.743206	-122.421546	+14155648415	3870_20151119	2017-11-19	81.0	Routine - Unscheduled	3870_20151119_103105	Improper cooling methods	High Risk
Ambrosia Bakery	2605 Ocean Ave	San Francisco	CA	94132			+14155335305	86682_20170714	2017-07-14		Reinspection/Followup			
ITHAI	720 Post St	San Francisco	CA	94109	37.787691	-122.413717		67564_20170804	2017-08-04	67.0	Routine - Unscheduled	67564_20170804_103124	Inadequately cleaned or sanitized food contact surfaces	Moderate Risk
Bite	912 Sutter St	San Francisco	CA	94109	37.788367	-122.415474		59599_20170831	2017-08-31	89.0	Routine - Unscheduled	59599_20170831_103133	Foods not protected from contamination	Moderate Risk
Burgermeister	759 Columbus Ave	San Francisco	CA	94133	37.801696	-122.412257		11492_20170321	2017-03-21	90.0	Routine - Unscheduled	11492_20170321_103144	Unapproved or unmaintained equipment or utensils	Low Risk
LA LOMA PRODUCE #7	2695 San Bruno Ave	San Francisco	CA	94134	37.727739	-122.403579		4502_20170421	2017-04-21		Non-inspection site visit			
MICHAELIS WINE & SPIRITS	2198 UNION St	San Francisco	CA	94123	37.797138	-122.435334	+14155925700	4716_20170925	2017-09-25	88.0	Routine - Unscheduled	4716_20170925_103161	Low risk vermin infestation	Low Risk
Hollywood Food Center	6146 Geary Blvd	San Francisco	CA	94121	37.780148	-122.485532		34787_20160523	2017-05-23	94.0	Routine - Unscheduled	34787_20160523_103133	Foods not protected from contamination	Moderate Risk
Mateo's Bay Area Hot Dogs	833 Bryant St	San Francisco	CA				+14155889291	39481_20150803	2017-08-03	79.0	Routine - Unscheduled	39481_20150803_103119	Inadequate and inaccessible handwashing facilities	Moderate Risk
Carmelina's Taqueria	500 Parnassus Ave	San Francisco	CA	94143			+14155501121	81134_20151030	2017-10-30		Reinspection/Followup	81134_20151030_103133	Foods not protected from contamination	Moderate Risk
ASIA SF LLC	201 09th St	San Francisco	CA	94103	37.775025	-122.413093	+14155256789	4335_20150513	2017-05-13		Reinspection/Followup			
Um Ma Son	5850 GEARY BLVD	San Francisco	CA	94121	37.780278	-122.482311		17947_20171004	2017-10-04	81.0	Routine - Unscheduled	17947_20171004_103132	Improper thawing methods	Moderate Risk
Tower Burger	729 PORTOLA Dr	San Francisco	CA	94127	37.744127	-122.453593		68159_20170913	2017-09-13	75.0	Routine - Unscheduled	68159_20170913_103124	Inadequately cleaned or sanitized food contact surfaces	Moderate Risk
The Plant Cafe Organic	101 California St	San Francisco	CA	94111	37.793424	-122.398168		61499_20171018	2017-10-18	84.0	Routine - Unscheduled	61499_20171018_103131	Moderate risk vermin infestation	Moderate Risk
ZUSHI-PUZZLE	1910 LOMBARD St	San Francisco	CA	94123	37.800248	-122.433053		2063_20171113	2017-11-13	74.0	Routine - Unscheduled	2063_20171113_103114	High risk vermin infestation	High Risk
Mi Ranchito Produce	2169 Mission St	San Francisco	CA	94110	37.762344	-122.419386		38379_20160426	2017-04-26	94.0	Routine - Unscheduled	38379_20160426_103119	Inadequate and inaccessible handwashing facilities	Moderate Risk
Maru Sushi	529 Powell St	San Francisco	CA	94102	37.789664	-122.408724		32736_20160727	2017-07-27	67.0	Routine - Unscheduled	32736_20160727_103138	Improper storage use or identification of toxic substances	Low Risk
Bayshore Taqueria	300 Bayshore Blvd #A	San Francisco	CA	94124				79345_20170522	2017-05-22	88.0	Routine - Unscheduled	79345_20170522_103120	Moderate risk food holding temperature	Moderate Risk
Cafe In	855 Bryant St	San Francisco	CA	94103				88087_20160818	2017-08-18		Structural Inspection			
Pakwan Restaurant	3180 16th St	San Francisco	CA	94103			+14155252440	78698_20170110	2017-01-10	86.0	Routine - Unscheduled	78698_20170110_103124	Inadequately cleaned or sanitized food contact surfaces	Moderate Risk
Bella Lucca	418 Geary St	San Francisco	CA	94102	37.787128	-122.410365		28468_20160203	2017-02-03	79.0	Routine - Unscheduled	28468_20160203_103151	Inadequate or unsanitary refuse containers or area or no garbage service	Low Risk
Uncle Vito's Pizza	700 Bush St	San Francisco	CA	94108	37.790219	-122.408849		1565_20150713	2017-07-13	89.0	Routine - Unscheduled	1565_20150713_103103	High risk food holding temperature	High Risk
The AA Bakery & Cafe	1068 Stockton St	San Francisco	CA	94108	37.795564	-122.40809		2233_20160524	2017-05-24	85.0	Routine - Unscheduled	2233_20160524_103120	Moderate risk food holding temperature	Moderate Risk
ST. PAULS SCHOOL	1690 Church St	San Francisco	CA	94131	37.74385	-122.426739	+14155642055	5180_20171031	2017-10-31		Non-inspection site visit			
Dirty Water	1355 Market St	San Francisco	CA				+14150879960	81287_20170130	2017-01-30		Reinspection/Followup			
The Ramp	855 Terry Francois Blvd	San Francisco	CA	94107			+14155597267	77185_20170511	2017-05-11		Non-inspection site visit			
Taqueria El Farolito #10	358 Beach St	San Francisco	CA	94133				79961_20150825	2017-08-25	80.0	Routine - Unscheduled	79961_20150825_103144	Unapproved or unmaintained equipment or utensils	Low Risk
Kim Thanh Restaurant	607 Geary St	San Francisco	CA	94102	37.786683	-122.413274		2107_20170517	2017-05-17	96.0	Routine - Unscheduled	2107_20170517_103133	Foods not protected from contamination	Moderate Risk
THE CAKE HOUSE	5169 MISSION St	San Francisco	CA	94112	37.716039	-122.441289		4586_20160720	2017-07-20	92.0	Routine - Unscheduled	4586_20160720_103154	Unclean or degraded floors walls or ceilings	Low Risk
Park Central Hotel SF-Garde Manger	50 03rd St	San Francisco	CA	94103				82895_20150825	2017-08-25	85.0	Routine - Unscheduled	82895_20150825_103144	Unapproved or unmaintained equipment or utensils	Low Risk
El Calamar	Off The Grid	San Francisco	CA					70708_20160713	2017-07-13	79.0	Routine - Unscheduled	70708_20160713_103147	Inadequate ventilation or lighting	Low Risk
Tsunami Mission Bay	301 King St	San Francisco	CA	94107	37.775777	-122.394423		40227_20161108	2017-11-08	87.0	Routine - Unscheduled	40227_20161108_103154	Unclean or degraded floors walls or ceilings	Low Risk
Le Meridien SF Main Kitchen/Employee Cafeteria	333 Battery St Level A & B	San Francisco	CA	94111	37.799005	-122.399862	+14155292904	65724_20151016	2017-10-16	100.0	Routine - Unscheduled			
Nan king Road Bistro	1360 9th Ave	San Francisco	CA	94122			+14155752900	87492_20180222	2017-02-22	90.0	Routine - Unscheduled	87492_20180222_103156	Permit license or inspection report not posted	Low Risk
Le Marais Bakery Castro	498 Sanchez St	San Francisco	CA	94114				90514_20170912	2017-09-12	87.0	Routine - Unscheduled	90514_20170912_103145	Improper storage of equipment utensils or linens	Low Risk
CLAY THEATRE	2261 FILLMORE St	San Francisco	CA	94115	37.790494	-122.434174		6432_20160304	2017-03-04	94.0	Routine - Unscheduled	6432_20160304_103131	Moderate risk vermin infestation	Moderate Risk
El Sur LLC #2	Off The Grid	San Francisco	CA					78699_20150617	2017-06-17		New Construction			
Smashburger Store #1271	2300 16th St #293	San Francisco	CA	94103			+14155892410	85518_20180116	2017-01-16	93.0	Routine - Unscheduled	85518_20180116_103103	High risk food holding temperature	High Risk
Specialty's Cafe & Bakery	369 Pine St	San Francisco	CA	94104	37.791953	-122.401998		39048_20160623	2017-06-23	86.0	Routine - Unscheduled	39048_20160623_103133	Foods not protected from contamination	Moderate Risk
Zhong Shan Restaurant	2237 Taraval St	San Francisco	CA	94116			+14155598938	76035_20160411	2017-04-11	86.0	Routine - Unscheduled	76035_20160411_103144	Unapproved or unmaintained equipment or utensils	Low Risk
Ferry Building Commissary	1 Ferry Building  #8A	San Francisco	CA	94111	37.795225	-122.39377		63489_20160419	2017-04-19	100.0	Routine - Unscheduled			
Il Casaro Pizzeria Mozzarella Bar	348 Columbus Ave	San Francisco	CA	94133				75147_20160504	2017-05-04	89.0	Routine - Unscheduled	75147_20160504_103120	Moderate risk food holding temperature	Moderate Risk
Ajisen Ramen	865 Market St #STC-12	San Francisco	CA	94103	37.784317	-122.407563		63757_20160304	2017-03-04	70.0	Routine - Unscheduled	63757_20160304_103105	Improper cooling methods	High Risk
TWO JACKS SEAFOOD	401 HAIGHT St	San Francisco	CA	94117	37.772274	-122.428997	+14155436290	2384_20180109	2017-01-09		Reinspection/Followup	2384_20180109_103150	Improper or defective plumbing	Low Risk
Nordstrom Expresso Bar	285 Winston Dr.	San Francisco	CA	94132	37.726895	-122.475861		9208_20170330	2017-03-30	94.0	Routine - Unscheduled	9208_20170330_103144	Unapproved or unmaintained equipment or utensils	Low Risk
Starbucks	675 Townsend St	San Francisco	CA	94103	37.770517	-122.403221		19418_20150424	2017-04-24	100.0	Routine - Unscheduled			
PRESIDIO GATE APARTMENTS	2770 LOMBARD St	San Francisco	CA	94123	37.798558	-122.446784	+14155561050	6001_20160429	2017-04-29	96.0	Routine - Unscheduled	6001_20160429_103138	Improper storage use or identification of toxic substances	Low Risk
SF Deli and Wine	810 MISSION St	San Francisco	CA	94103	37.784193	-122.404699		71563_20160705	2017-07-05	94.0	Routine - Unscheduled	71563_20160705_103157	Food safety certificate or food handler card not available	Low Risk
The Dorian	2001 Chestnut St	San Francisco	CA	94123				84619_20180221	2017-02-21	92.0	Routine - Unscheduled	84619_20180221_103131	Moderate risk vermin infestation	Moderate Risk
Cole Valley Cafe	701 Cole St	San Francisco	CA	94117			+14155665282	75942_20150706	2017-07-06	85.0	Routine - Unscheduled	75942_20150706_103131	Moderate risk vermin infestation	Moderate Risk
Tierra Mia Coffee Company	3188 Mission St	San Francisco	CA	94110				75055_20170515	2017-05-15	98.0	Routine - Unscheduled	75055_20170515_103142	Unclean nonfood contact surfaces	Low Risk
Banwich	1105 TARAVAL St	San Francisco	CA	94116	37.742895	-122.477898		1241_20160523	2017-05-23	90.0	Routine - Unscheduled	1241_20160523_103154	Unclean or degraded floors walls or ceilings	Low Risk
HIEP-THANH MARKET	724 LARKIN St	San Francisco	CA	94109	37.784598	-122.417757		6654_20160121	2017-01-21	70.0	Routine - Unscheduled	6654_20160121_103145	Improper storage of equipment utensils or linens	Low Risk
Ora Schulman, LLC	103 Horne Ave.	San Francisco	CA	94124				92254_20170817	2017-08-17		New Ownership			
Chinatown Restaurant	744 Washington St	San Francisco	CA	94108	37.795248	-122.405943		3676_20160816	2017-08-16	87.0	Routine - Unscheduled	3676_20160816_103161	Low risk vermin infestation	Low Risk
Fish N Gari	1718 Polk St	San Francisco	CA	94109	37.792577	-122.421016		69759_20160708	2017-07-08	71.0	Routine - Unscheduled	69759_20160708_103149	Wiping cloths not clean or properly stored or inadequate sanitizer	Low Risk
Tempest	431 NATOMA St	San Francisco	CA	94103	37.781249	-122.406222		66255_20180212	2017-02-12	89.0	Routine - Unscheduled	66255_20180212_103102	Unclean hands or improper use of gloves	High Risk
