business_name	business_address	business_city	business_state	business_postal_code	business_latitude	business_longitude	business_phone_number	inspection_id	inspection_date	inspection_score	inspection_type	violation_id	violation_description	risk_category
ESPERPENTO RESTAURANT	3295 22nd St	San Francisco	CA	94110	37.755303	-122.420649		1584_20170824	2017-08-24	77.0	Routine - Unscheduled	1584_20170824_103154	Unclean or degraded floors walls or ceilings	Low Risk
Cafe Bunn Mi	417 CLEMENT St	San Francisco	CA	94118	37.782953	-122.4637		66361_20180207	2017-02-07	81.0	Routine - Unscheduled	66361_20180207_103124	Inadequately cleaned or sanitized food contact surfaces	Moderate Risk
Zaytoon	607 Divisadero St	San Francisco	CA	94117			+14150871945	84456_20160426	2017-04-26		Structural Inspection			
Beso Bistronomia	4058 A 18th St	San Francisco	CA	94114			+14155556200	78278_20150824	2017-08-24	93.0	Routine - Unscheduled	78278_20150824_103109	Unclean or unsanitary food contact surfaces	High Risk
TYGER'S	2798 DIAMOND St	San Francisco	CA	94131	37.734579	-122.4339	+14155234064	2692_20160923	2017-09-23		Reinspection/Followup	2692_20160923_103103	High risk food holding temperature	High Risk
Hana Zen Sushi  Yakitori Bar	Pier 39  Space M209	San Francisco	CA	94133	37.80824	-122.410189		63755_20160608	2017-06-08	70.0	Routine - Unscheduled	63755_20160608_103116	Inadequate food safety knowledge or lack of certified food safety manager	Moderate Risk
Palm House	2032 Union St	San Francisco	CA	94133				78747_20170630	2017-06-30	80.0	Routine - Unscheduled	78747_20170630_103109	Unclean or unsanitary food contact surfaces	High Risk
Schools of the Sacred Heart - San Francisco	2222 BROADWAY St	San Francisco	CA	94115				69984_20160914	2017-09-14	87.0	Routine - Unscheduled	69984_20160914_103124	Inadequately cleaned or sanitized food contact surfaces	Moderate Risk
Caffe Bianco	39 Sutter St	San Francisco	CA	94104	37.790102	-122.401158		1582_20160426	2017-04-26	83.0	Routine - Unscheduled	1582_20160426_103105	Improper cooling methods	High Risk
SAI JAI THAI	771 O'FARRELL St	San Francisco	CA	94109	37.785182	-122.417409	+14155675774	1734_20150406	2017-04-06	86.0	Routine - Unscheduled	1734_20150406_103145	Improper storage of equipment utensils or linens	Low Risk
DR. TEETH AND THE ELECTRIC MAYHEM	2323 MISSION St	San Francisco	CA	94110	37.759824	-122.419136		66704_20171226	2017-12-26		Reinspection/Followup			
BAR NONE-SF, LLC	1980 UNION St	San Francisco	CA	94123	37.797578	-122.431883	+14155920300	3345_20170524	2017-05-24	80.0	Routine - Unscheduled	3345_20170524_103153	Inadequate dressing rooms or improper storage of personal items	Low Risk
Starbucks Coffee #9211	1 Market St	San Francisco	CA	94105				82653_20151028	2017-10-28	100.0	Routine - Unscheduled			
Caffe Baonecci	516 Green St	San Francisco	CA	94133	37.799732	-122.407589		24437_20160805	2017-08-05	87.0	Routine - Unscheduled	24437_20160805_103157	Food safety certificate or food handler card not available	Low Risk
Happy Chinese Restaurant	1324 Powell St	San Francisco	CA	94133	37.796848	-122.410097		3817_20160408	2017-04-08		Reinspection/Followup			
Harvest Urban Market	191 08th St	San Francisco	CA	94103	37.776384	-122.411684	+14155620805	10332_20160316	2017-03-16	68.0	Routine - Unscheduled	10332_20160316_103149	Wiping cloths not clean or properly stored or inadequate sanitizer	Low Risk
Luen Fat Market	1135 Stockton St	San Francisco	CA	94133	37.796303	-122.408354		6962_20150616	2017-06-16		Non-inspection site visit			
EXECUTIVE CAFE	150 EXECUTIVE PARK Blvd 2000	San Francisco	CA	94134	37.711323	-122.393371	+14155532612	1788_20150909	2017-09-09	87.0	Routine - Unscheduled	1788_20150909_103129	Insufficient hot water or running water	Moderate Risk
Juicy Fruit	768 Jackson St	San Francisco	CA	94133				71187_20160823	2017-08-23	75.0	Routine - Unscheduled	71187_20160823_103135	No person in charge of food facility	Low Risk
MENKEE WONTON	1701 Noriega St	San Francisco	CA	94122	37.753954	-122.481866		35702_20161122	2017-11-22	79.0	Routine - Unscheduled	35702_20161122_103102	Unclean hands or improper use of gloves	High Risk
GM Market Inc.	958 Geneva Ave	San Francisco	CA	94112	37.715948	-122.44015		69026_20161209	2017-12-09	90.0	Routine - Unscheduled	69026_20161209_103154	Unclean or degraded floors walls or ceilings	Low Risk
Little Paris	1131 Stockton St	San Francisco	CA	94133			+14155984057	71012_20160302	2017-03-02	72.0	Routine - Unscheduled	71012_20160302_103119	Inadequate and inaccessible handwashing facilities	Moderate Risk
LAWTON ELEMENTARY SCHOOL	1570 31st Ave	San Francisco	CA	94122	37.758013	-122.489596		5787_20150423	2017-04-23	93.0	Routine - Unscheduled	5787_20150423_103102	Unclean hands or improper use of gloves	High Risk
Mission Hunan Restaurant	2960 16th St	San Francisco	CA	94103	37.765142	-122.419026	+14155628288	2409_20180201	2017-02-01	72.0	Routine - Unscheduled	2409_20180201_103114	High risk vermin infestation	High Risk
Bartlett Hall	242 O'Farrell St	San Francisco	CA	94102				77789_20160909	2017-09-09	81.0	Routine - Unscheduled	77789_20160909_103133	Foods not protected from contamination	Moderate Risk
MOSCOW & TBILSI BAKERY STORE	5540 GEARY Blvd	San Francisco	CA	94121	37.780439	-122.478982		3189_20170228	2017-02-28	87.0	Routine - Unscheduled	3189_20170228_103102	Unclean hands or improper use of gloves	High Risk
California Grocery	123 Eddy St	San Francisco	CA	94102	37.784303	-122.409647	+14155448608	62064_20160411	2017-04-11	75.0	Routine - Unscheduled	62064_20160411_103129	Insufficient hot water or running water	Moderate Risk
Chez Maman	401 Gough St	San Francisco	CA	94102	37.776889	-122.423039	+14155908177	69110_20170713	2017-07-13		Reinspection/Followup			
Marines Memorial Club - Banquet	609 Sutter St 10th Floor	San Francisco	CA	94102	37.788954	-122.410467		2925_20161207	2017-12-07	88.0	Routine - Unscheduled	2925_20161207_103132	Improper thawing methods	Moderate Risk
Pizza Zone & Grill	178 Valencia St	San Francisco	CA	94102	37.779847	-122.418985		38112_20161118	2017-11-18	88.0	Routine - Unscheduled	38112_20161118_103133	Foods not protected from contamination	Moderate Risk
Hinata Sushi	810 Van Ness Ave	San Francisco	CA	94109				83040_20170130	2017-01-30	92.0	Routine - Unscheduled	83040_20170130_103128	Consumer advisory not provided for raw or undercooked foods	Moderate Risk
AT&T PARK - Draft Beer Cart	24 Willie Mays Plaza	San Francisco	CA	94107				79006_20150419	2017-04-19	92.0	Routine - Unscheduled	79006_20150419_103129	Insufficient hot water or running water	Moderate Risk
Taqueria Cazadores	1600 C Mission St	San Francisco	CA	94110	37.749851	-122.415121	+14156781286	59044_20180315	2017-03-15		Administrative or Document Review			
LUCCA RAVIOLI CO	1100 VALENCIA St	San Francisco	CA	94110	37.755177	-122.420995	+14155645581	4884_20171211	2017-12-11	98.0	Routine - Unscheduled	4884_20171211_103161	Low risk vermin infestation	Low Risk
VINH KHANG HERBS & GINSENG	512 CLEMENT St	San Francisco	CA	94118	37.782957	-122.464762		7555_20160310	2017-03-10	90.0	Routine - Unscheduled	7555_20160310_103145	Improper storage of equipment utensils or linens	Low Risk
LICK MIDDLE SCHOOL	1220 Noe St	San Francisco	CA	94114	37.74949	-122.43175	+14155816139	5813_20151021	2017-10-21	96.0	Routine - Unscheduled	5813_20151021_103120	Moderate risk food holding temperature	Moderate Risk
It' Sugar	333 Jefferson St Space B-101	San Francisco	CA	94133	37.807923	-122.417887		68895_20151109	2017-11-09	96.0	Routine - Unscheduled	68895_20151109_103144	Unapproved or unmaintained equipment or utensils	Low Risk
Bien Hoa	463 Ellis St	San Francisco	CA	94102	37.784734	-122.413776		26343_20160309	2017-03-09	96.0	Routine - Unscheduled	26343_20160309_103131	Moderate risk vermin infestation	Moderate Risk
YANK SING	49 STEVENSON St	San Francisco	CA	94105	37.789867	-122.399462		3200_20150702	2017-07-02	92.0	Routine - Unscheduled	3200_20150702_103142	Unclean nonfood contact surfaces	Low Risk
Peekadoodle Kidsclub	900 North Point St #F100	San Francisco	CA	94109	37.805427	-122.422854		36645_20160310	2017-03-10	91.0	Routine - Unscheduled	36645_20160310_103157	Food safety certificate or food handler card not available	Low Risk
Soma Fresh Meat and Deli	1000 Howard St	San Francisco	CA	94103				68860_20170829	2017-08-29		Complaint	68860_20170829_103119	Inadequate and inaccessible handwashing facilities	Moderate Risk
Donut Time	2401 Noriega St	San Francisco	CA	94122	37.753633	-122.48954		510_20170919	2017-09-19	88.0	Routine - Unscheduled	510_20170919_103133	Foods not protected from contamination	Moderate Risk
The Salvation Army	1156 Valencia St	San Francisco	CA	94110	37.754397	-122.420915	+14155640260	5999_20171128	2017-11-28	90.0	Routine - Unscheduled	5999_20171128_103142	Unclean nonfood contact surfaces	Low Risk
Ganim's Market	1135 18th St	San Francisco	CA	94107	37.762686	-122.393975		68407_20150603	2017-06-03		Reinspection/Followup			
New Hollywood Bakery & Restaurant	652 Pacific Ave	San Francisco	CA	94133				852_20171129	2017-11-29	83.0	Routine - Unscheduled	852_20171129_103114	High risk vermin infestation	High Risk
La Taqueria Guadalajara	3146 24th St	San Francisco	CA	94110	37.752512	-122.415109	+14155644892	32671_20170110	2017-01-10	70.0	Routine - Unscheduled	32671_20170110_103102	Unclean hands or improper use of gloves	High Risk
Henry's Hunan North Restaurant	1398 Grant Ave	San Francisco	CA	94133				77054_20180124	2017-01-24	80.0	Routine - Unscheduled	77054_20180124_103154	Unclean or degraded floors walls or ceilings	Low Risk
Gott's Roadside Tray Gourmet	1 Ferry Building #6	San Francisco	CA	94111	37.795225	-122.39377		65622_20161128	2017-11-28	92.0	Routine - Unscheduled	65622_20161128_103150	Improper or defective plumbing	Low Risk
KENMORE RESIDENCE CLUB	1570 SUTTER St	San Francisco	CA	94109	37.787017	-122.426234	+14155775815	2031_20160318	2017-03-18	88.0	Routine - Unscheduled	2031_20160318_103154	Unclean or degraded floors walls or ceilings	Low Risk
LA VIE VIETNAMESE REST	5830 GEARY Blvd	San Francisco	CA	94121	37.780298	-122.482022		2596_20160609	2017-06-09	74.0	Routine - Unscheduled	2596_20160609_103132	Improper thawing methods	Moderate Risk
Nile Cafe	544 Jones St	San Francisco	CA	94102	37.786307	-122.413026		17933_20160226	2017-02-26	84.0	Routine - Unscheduled	17933_20160226_103156	Permit license or inspection report not posted	Low Risk
Ten Ren Tea	550 Grant Ave	San Francisco	CA	94108				70207_20160318	2017-03-18		New Construction			
Kawika's Ocean Beach Deli and Catering LLC	734 La Playa St	San Francisco	CA	94121			+14155222031	76698_20151112	2017-11-12	100.0	Routine - Unscheduled			
AFC Sushi @Safeway 739	3350 Mission St	San Francisco	CA	94110	37.742998	-122.421638		28976_20160127	2017-01-27	96.0	Routine - Unscheduled	28976_20160127_103156	Permit license or inspection report not posted	Low Risk
Subway Sandwiches #33847	795 A Folsom St	San Francisco	CA	94107				81861_20170831	2017-08-31	92.0	Routine - Unscheduled	81861_20170831_103144	Unapproved or unmaintained equipment or utensils	Low Risk
Tin Vietnamese Cuisine	937 Howard St	San Francisco	CA	94103	37.780828	-122.405752		61391_20160406	2017-04-06	75.0	Routine - Unscheduled	61391_20160406_103124	Inadequately cleaned or sanitized food contact surfaces	Moderate Risk
TURK & LARKIN DELI	476 TURK St	San Francisco	CA	94102	37.782458	-122.416873	+14155776889	3038_20160620	2017-06-20	73.0	Routine - Unscheduled	3038_20160620_103102	Unclean hands or improper use of gloves	High Risk
The Cheesecake Factory	251 Geary St, 8th Floor	San Francisco	CA	94102	37.787423	-122.407417		2898_20150818	2017-08-18	81.0	Routine - Unscheduled	2898_20150818_103144	Unapproved or unmaintained equipment or utensils	Low Risk
ZA	1919 Hyde St	San Francisco	CA	94109	37.798553	-122.418964		2053_20150730	2017-07-30	90.0	Routine - Unscheduled	2053_20150730_103131	Moderate risk vermin infestation	Moderate Risk
Mathilde French Bistro	315 05th St	San Francisco	CA	94107				82207_20150623	2017-06-23	92.0	Routine - Unscheduled	82207_20150623_103131	Moderate risk vermin infestation	Moderate Risk
Wild Hare	2801 California St	San Francisco	CA	94115			+14156622408	87542_20170509	2017-05-09	85.0	Routine - Unscheduled	87542_20170509_103119	Inadequate and inaccessible handwashing facilities	Moderate Risk
Subway #36339	1099 Mission St	San Francisco	CA		37.779466	-122.410903	+14155249033	35469_20161209	2017-12-09	90.0	Routine - Unscheduled	35469_20161209_103156	Permit license or inspection report not posted	Low Risk
Osha Express	1 Market St #21B	San Francisco	CA	94105	37.794347	-122.394932		68615_20170316	2017-03-16	73.0	Routine - Unscheduled	68615_20170316_103124	Inadequately cleaned or sanitized food contact surfaces	Moderate Risk
The Brick Yard	1787 Union St	San Francisco	CA	94123	37.797933	-122.428627	+14156677676	63082_20170824	2017-08-24	78.0	Routine - Unscheduled	63082_20170824_103129	Insufficient hot water or running water	Moderate Risk
The Willows	1582 Folsom St	San Francisco	CA	94103				77767_20171023	2017-10-23	92.0	Routine - Unscheduled	77767_20171023_103123	Food in poor condition	Moderate Risk
Ninki Sushi Bar & Restaurant	1439 TARAVAL St	San Francisco	CA	94116	37.742743	-122.481749		60518_20170824	2017-08-24	78.0	Routine - Unscheduled	60518_20170824_103149	Wiping cloths not clean or properly stored or inadequate sanitizer	Low Risk
The Morning Fix	1008 Bush St	San Francisco	CA	94109	37.789548	-122.413964		27851_20170424	2017-04-24	100.0	Routine - Unscheduled			
Roam Artisan Burgers	1785 UNION St	San Francisco	CA	94123	37.797954	-122.428477	+14155414247	63047_20150611	2017-06-11	90.0	Routine - Unscheduled	63047_20150611_103150	Improper or defective plumbing	Low Risk
NEW EMMY'S RESTAURANT	1923 OCEAN Ave	San Francisco	CA	94127	37.725404	-122.462776	+14155728615	2808_20170621	2017-06-21	81.0	Routine - Unscheduled	2808_20170621_103103	High risk food holding temperature	High Risk
Luce Restaurant &  Bar	888 Howard St 1st Floor	San Francisco	CA	94103	37.781664	-122.404778		37166_20161215	2017-12-15	92.0	Routine - Unscheduled	37166_20161215_103120	Moderate risk food holding temperature	Moderate Risk
The Brick Yard	1787 Union St	San Francisco	CA	94123	37.797933	-122.428627	+14156677676	63082_20150602	2017-06-02		Reinspection/Followup	63082_20150602_103147	Inadequate ventilation or lighting	Low Risk
MEXICO AU PARC	24 SOUTH PARK STREET	San Francisco	CA	94107	37.782218	-122.393423		9156_20180322	2017-03-22		Reinspection/Followup			
The Organic Coup	224 Kearny St	San Francisco	CA	94108				88708_20170210	2017-02-10	100.0	Routine - Unscheduled			
Dabba	Off the Grid	San Francisco	CA				+14155697876	85857_20170318	2017-03-18		Structural Inspection	85857_20170318_103119	Inadequate and inaccessible handwashing facilities	Moderate Risk
Subway #36339	1099 Mission St	San Francisco	CA		37.779466	-122.410903	+14155249033	35469_20171129	2017-11-29		Complaint	35469_20171129_103154	Unclean or degraded floors walls or ceilings	Low Risk
DIVA'S	1081 Post St	San Francisco	CA	94109			+14155473482	4323_20170915	2017-09-15		Non-inspection site visit			
Manzoni	2790 Diamond St	San Francisco	CA	94131	37.73473	-122.433823	+14155332251	60544_20160929	2017-09-29	92.0	Routine - Unscheduled	60544_20160929_103157	Food safety certificate or food handler card not available	Low Risk
Lombard Union 76	2498 LOMBARD St	San Francisco	CA	94123	37.799078	-122.442374		34387_20160414	2017-04-14	96.0	Routine - Unscheduled	34387_20160414_103142	Unclean nonfood contact surfaces	Low Risk
SF Bistro	22 4th St	San Francisco	CA	94103			+14158795962	86330_20160204	2017-02-04	90.0	Routine - Unscheduled	86330_20160204_103120	Moderate risk food holding temperature	Moderate Risk
Homegrown Sustainable Sandwiches	222 Battery St	San Francisco	CA	94111			+14157569240	89694_20170106	2017-01-06		New Ownership			
GEORGE'S ZOO	2560 SLOAT Blvd	San Francisco	CA	94116	37.735488	-122.501599		4842_20160621	2017-06-21	90.0	Routine - Unscheduled	4842_20160621_103124	Inadequately cleaned or sanitized food contact surfaces	Moderate Risk
Chaiya Thai Restaurant	272 Claremont Blvd	San Francisco	CA	94127			+14155990345	83097_20150527	2017-05-27		New Ownership			
Beeps Burgers	1051 Ocean Ave	San Francisco	CA	94112			+14155582650	78996_20160504	2017-05-04	94.0	Routine - Unscheduled	78996_20160504_103149	Wiping cloths not clean or properly stored or inadequate sanitizer	Low Risk
Massawa Restaurant	532 Green St	San Francisco	CA	94133			+14155624129	85397_20160926	2017-09-26	91.0	Routine - Unscheduled	85397_20160926_103144	Unapproved or unmaintained equipment or utensils	Low Risk
Kitchen Story Cafe	3499 16th St	San Francisco	CA	94114			+14155939663	70184_20151223	2017-12-23	66.0	Routine - Unscheduled	70184_20151223_103131	Moderate risk vermin infestation	Moderate Risk
S & B Supermarket Inc.	2203 Irving St	San Francisco	CA	94122				79401_20171010	2017-10-10	92.0	Routine - Unscheduled	79401_20171010_103119	Inadequate and inaccessible handwashing facilities	Moderate Risk
LAS TINAJAS	2338 MISSION St	San Francisco	CA	94110	37.759567	-122.419185	+14155699933	2347_20150520	2017-05-20	91.0	Routine - Unscheduled	2347_20150520_103105	Improper cooling methods	High Risk
Jane	925 Larkin St	San Francisco	CA	94109				76685_20171208	2017-12-08	86.0	Routine - Unscheduled	76685_20171208_103144	Unapproved or unmaintained equipment or utensils	Low Risk
Bon Appetit Management Co (9th Floor)	685 Market St 520	San Francisco	CA				+14155612862	81357_20171205	2017-12-05	100.0	Routine - Unscheduled			
La Promenade Cafe	3643 Balboa St	San Francisco	CA	94121			+14155226063	75678_20180220	2017-02-20	88.0	Routine - Unscheduled	75678_20180220_103157	Food safety certificate or food handler card not available	Low Risk
San Francisco Proper Hotel	1100 Market St 1st Floor	San Francisco	CA	94102				92201_20171101	2017-11-01	100.0	Routine - Unscheduled			
Stanford Court Hotel	905 California St	San Francisco	CA	94108				81250_20160727	2017-07-27	90.0	Routine - Unscheduled	81250_20160727_103143	Inadequate warewashing facilities or equipment	Low Risk
Puccini & Pinetti	129 Ellis St	San Francisco	CA	94102				79296_20170905	2017-09-05		New Construction			
Gourment Noodle House	3751 Geary Blvd	San Francisco	CA	94118			+14155227427	75701_20160919	2017-09-19	77.0	Routine - Unscheduled	75701_20160919_103149	Wiping cloths not clean or properly stored or inadequate sanitizer	Low Risk
Burgermeister	759 Columbus Ave	San Francisco	CA	94133	37.801696	-122.412257		11492_20170321	2017-03-21	90.0	Routine - Unscheduled	11492_20170321_103124	Inadequately cleaned or sanitized food contact surfaces	Moderate Risk
Nihon	1779 Folsom St	San Francisco	CA	94103	37.768654	-122.415586		16751_20171107	2017-11-07	96.0	Routine - Unscheduled	16751_20171107_103161	Low risk vermin infestation	Low Risk
Yemen Kitchen, Inc.	219 Jones St	San Francisco	CA	94102				90487_20180117	2017-01-17		Reinspection/Followup			
Restaurante Montecristo	3723 Mission St	San Francisco	CA	94110				79050_20161019	2017-10-19	90.0	Routine - Unscheduled	79050_20161019_103142	Unclean nonfood contact surfaces	Low Risk
The Station	596 Pacific Ave	San Francisco	CA	94133	37.797129	-122.40531		69828_20171031	2017-10-31	92.0	Routine - Unscheduled	69828_20171031_103144	Unapproved or unmaintained equipment or utensils	Low Risk
THE Art Bistro	6900 GEARY BLVD	San Francisco	CA	94121	37.779718	-122.493662		14568_20170807	2017-08-07	94.0	Routine - Unscheduled	14568_20170807_103119	Inadequate and inaccessible handwashing facilities	Moderate Risk
Yield	2490 03rd St	San Francisco	CA	94107	37.75812	-122.388512		23557_20170207	2017-02-07	89.0	Routine - Unscheduled	23557_20170207_103157	Food safety certificate or food handler card not available	Low Risk
The Irish Bank Bar & Restaurant	10 Mark Ln	San Francisco	CA	94108	37.790324	-122.404774		34814_20160420	2017-04-20	87.0	Routine - Unscheduled	34814_20160420_103154	Unclean or degraded floors walls or ceilings	Low Risk
Pat's Cafe	2330 Taylor St	San Francisco	CA	94133	37.803947	-122.414927		1852_20170106	2017-01-06	88.0	Routine - Unscheduled	1852_20170106_103154	Unclean or degraded floors walls or ceilings	Low Risk
EMPEROR PALACE RESTAURANT	0530 BALBOA St	San Francisco	CA	94118	37.777253	-122.464359		2544_20170831	2017-08-31	79.0	Routine - Unscheduled	2544_20170831_103124	Inadequately cleaned or sanitized food contact surfaces	Moderate Risk
Mourad	140 New Montgomery St	San Francisco	CA					74975_20160815	2017-08-15	85.0	Routine - Unscheduled	74975_20160815_103109	Unclean or unsanitary food contact surfaces	High Risk
The Morris	2501 Mariposa St	San Francisco	CA	94110			+14150710693	87203_20160912	2017-09-12		New Construction			
Powder	260 Divisadero St	San Francisco	CA	94117			+14155928183	86355_20160823	2017-08-23		Structural Inspection			
HARD KNOX CAFE	2526 03rd St	San Francisco	CA	94107	37.757555	-122.388443		2152_20170202	2017-02-02	89.0	Routine - Unscheduled	2152_20170202_103119	Inadequate and inaccessible handwashing facilities	Moderate Risk
Bill's Place	2315 Clement St	San Francisco	CA	94121				86359_20170619	2017-06-19	79.0	Routine - Unscheduled	86359_20170619_103154	Unclean or degraded floors walls or ceilings	Low Risk
Mercury Cafe	201 Octavia St	San Francisco	CA	94102	37.773887	-122.424182		57751_20160405	2017-04-05	92.0	Routine - Unscheduled	57751_20160405_103161	Low risk vermin infestation	Low Risk
Super Pan	5344 Geary Blvd	San Francisco	CA	94121				84615_20160628	2017-06-28	86.0	Routine - Unscheduled	84615_20160628_103133	Foods not protected from contamination	Moderate Risk
The Salzburg	663 Union St	San Francisco	CA	94133				92446_20171003	2017-10-03		New Ownership			
The Mission Oyster Bar Seafood Rest. & Mkt.t	2282 MISSION St	San Francisco	CA	94110			+14155217250	69813_20160419	2017-04-19	89.0	Routine - Unscheduled	69813_20160419_103133	Foods not protected from contamination	Moderate Risk
Battery Street Coffee Roastery	950 Battery St	San Francisco	CA	94111	37.800178	-122.401317		1850_20171106	2017-11-06	92.0	Routine - Unscheduled	1850_20171106_103162	Other low risk violation	Low Risk
Saigon Sandwiches	560 Larkin St	San Francisco	CA	94102				80312_20170928	2017-09-28	78.0	Routine - Unscheduled			
Panuchos	620 Broadway St	San Francisco	CA	94133				89393_20170103	2017-01-03	83.0	Routine - Unscheduled	89393_20170103_103133	Foods not protected from contamination	Moderate Risk
Tian Tian Market, Inc.	1117 Stockton St	San Francisco	CA	94133				86180_20161205	2017-12-05	84.0	Routine - Unscheduled	86180_20161205_103153	Inadequate dressing rooms or improper storage of personal items	Low Risk
Candi Me	3520 20th St., Suite 1	San Francisco	CA	94110				92427_20170804	2017-08-04		New Ownership			
J. Georgie's Donuts and Restaurant	2462 San Bruno Ave	San Francisco	CA					72025_20161102	2017-11-02	86.0	Routine - Unscheduled	72025_20161102_103120	Moderate risk food holding temperature	Moderate Risk
Tsing Tao #2	1117 Fillmore St	San Francisco	CA	94115				76886_20170425	2017-04-25	72.0	Routine - Unscheduled	76886_20170425_103119	Inadequate and inaccessible handwashing facilities	Moderate Risk
Poke Bar	1355 Market St	San Francisco	CA	94103			+14153557708	86567_20160524	2017-05-24		New Construction			
BAR NONE-SF, LLC	1980 UNION St	San Francisco	CA	94123	37.797578	-122.431883	+14155920300	3345_20170524	2017-05-24	80.0	Routine - Unscheduled	3345_20170524_103124	Inadequately cleaned or sanitized food contact surfaces	Moderate Risk
Sofia Cafe	3463 16th St	San Francisco	CA	94114			+14155718656	89516_20170830	2017-08-30	79.0	Routine - Unscheduled	89516_20170830_103133	Foods not protected from contamination	Moderate Risk
SOTA (SCHOOL OF THE ARTS)	555 Portola Dr	San Francisco	CA	94131	37.745674	-122.45085	+14155695700	5855_20171117	2017-11-17	100.0	Routine - Unscheduled			
Camp	4014 GEARY Blvd	San Francisco	CA	94118	37.781198	-122.462511		66901_20161026	2017-10-26	86.0	Routine - Unscheduled	66901_20161026_103131	Moderate risk vermin infestation	Moderate Risk
